timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769483370.6009579,CREATED,61aa0b49-0610-4a18-9eac-e2bd88ffdff9,61326fee-e99d-4607-987c-47ba1c1a3a6c,c2,c4,27,?,?,surb={'id': '5604c4e7-acb0-4e79-a084-1530749d15ef', 'route': ['p1', 'e12', 'i6', 'x9', 'p2', 'c2']}
1769483370.6311536,SENT,810389e9-1476-4eb2-8037-597dae3a91ad,28f78798-3572-411f-9b03-a2a35c88744b,c2,c4,3403,?,p2,
1769483370.6312885,CREATED,58d825cf-a1a1-4beb-8689-df4b86227c62,a479b676-2ebb-458b-b02a-211076688b68,c2,c4,27,?,?,surb={'id': '8f8546aa-d31a-4127-96fd-cae2964e5e2f', 'route': ['p1', 'e1', 'i3', 'x11', 'p2', 'c2']}
1769483370.7539384,SENT,f66b5446-7ead-49ea-a48f-0f833f8d5f14,aee2a582-5fe4-497f-8c67-cddf91f02525,c2,DROP,2016,?,p2,
1769483370.7541175,CREATED,5e9736cb-c046-4bb3-8f2a-792ac73ed3f9,af66f69e-1850-4f4a-aebc-2f4531b99ab6,c2,DROP,26,?,?,
1769483370.7651355,RECEIVED,74d8fdd2-b1e3-4f69-8737-7e23d5939f38,c76f4b59-90b7-4421-bf20-63720da73456,c1,c2,27,p2,?,surb={'id': 'd20a1761-2be2-450d-b2e0-c0794d099687', 'route': ['p2', 'e8', 'i12', 'x3', 'p1', 'c1']}
1769483371.0610385,SENT,50a8d4b6-d9a5-4c92-8d2d-a15470324043,2084611c-6f1e-4fc6-9ad7-f897ef97b39c,c2,DROP,2031,?,p2,
1769483371.0612133,CREATED,02391c7d-6175-424f-8b33-933f365d450d,aff03ff8-c599-43be-83ff-6487e88901a5,c2,DROP,27,?,?,
1769483371.225278,RECEIVED,820c0d7e-6ca7-43ef-b0f3-b31e888ee01b,0df57f43-dabe-4a55-822c-7bc0f4ce5da9,c1,c2,27,p2,?,surb={'id': '3ba3be42-9410-49b8-9d41-3dbd527c379f', 'route': ['p2', 'e10', 'i1', 'x7', 'p1', 'c1']}
1769483371.3641424,SENT,431813b8-b06f-4dc3-b696-b3cf3ecd41c4,c5160965-0e9a-457e-9a34-560f2fcbbffc,c2,c4,3385,?,p2,
