timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769745455.991929,RECEIVED,d1747a0b-f759-469d-b6c8-bda765dc7ff1,991debce-bfc0-4b5e-a68e-eb0399d7c3dc,c2,c3,27,p3,?,surb={'id': '77337394-bdaf-48e9-b912-845d8b5be22c', 'route': ['p3', 'e2', 'i7', 'x3', 'p2', 'c2']}
1769745456.0159776,RECEIVED,a696d461-1cc5-42f5-80bc-9bac5e506cda,ebdeca93-a7b4-4189-bbc6-84af39e05021,c2,c3,27,p3,?,surb={'id': '14bd5be9-b332-4ab7-b673-72e3016e63b6', 'route': ['p3', 'e9', 'i4', 'x3', 'p2', 'c2']}
1769745456.3329508,SENT,dc08f1f4-e884-4076-87ba-5e0b84db0842,3669b2d1-bfdc-47af-b784-60ec38838d8a,c3,c2,3389,?,p3,
1769745456.333114,CREATED,de676b28-9287-43e9-ac5c-c321e05fe1f6,ea706c38-c868-4a33-911c-65cd6afedafd,c3,c2,27,?,?,surb={'id': 'fc6138c8-f53e-4eb4-87df-df3ad1ab3aaa', 'route': ['p2', 'e3', 'i10', 'x2', 'p3', 'c3']}
1769745456.537623,RECEIVED,060dd73f-5f4a-48f8-9c38-1a5a54b03ee4,ebf3001b-d045-481e-b0b2-7c937a93c33a,c2,c3,27,p3,?,surb={'id': '4baae842-1807-450d-ac71-2a1ca2c234c7', 'route': ['p3', 'e8', 'i5', 'x1', 'p2', 'c2']}
1769745457.1477635,RECEIVED,d39be0bf-f865-461f-b566-173b2484a71b,7c6e5a6c-166f-48f4-a0bc-0afe42dd47ca,c2,c3,27,p3,?,surb={'id': 'cc5b66cb-12b6-4d87-b0ea-e7c442e5d6e6', 'route': ['p3', 'e8', 'i8', 'x6', 'p2', 'c2']}
1769745457.1762307,RECEIVED,aa7e5d57-1643-4d78-8746-23f2247f80a9,b27821a9-d0b1-49bb-be97-55f353cda896,c1,c3,26,p3,?,surb={'id': '40ce170a-c297-4ada-870d-275e72a9f05e', 'route': ['p3', 'e9', 'i5', 'x6', 'p1', 'c1']}
1769745457.3035994,SENT,8c6c92d7-3025-413d-9bd1-4e09e5be8579,e86156d5-3e65-43cf-877e-9f293d700d07,c3,c2,3374,?,p3,
1769745457.303729,CREATED,6322ead6-701d-4a34-a65c-eaacfcd51d47,8dc76bf7-cc74-470e-ac33-81d6a3049714,c3,c2,27,?,?,surb={'id': 'b0b0c794-0a4c-4a17-a67e-6619be901318', 'route': ['p2', 'e2', 'i3', 'x3', 'p3', 'c3']}
1769745457.3378694,RECEIVED,556ffe90-1bc5-45c8-b69c-b48efa1b0be5,c83afd8e-b1b1-49e8-8734-d76fd310888c,c1,c3,27,p3,?,surb={'id': 'e06029bc-c58f-4c06-a65d-2cacb291d628', 'route': ['p3', 'e9', 'i10', 'x6', 'p1', 'c1']}
1769745457.371124,RECEIVED,5f1d264b-612f-4da6-9d52-d148ce4b3d73,ecf6850f-3d3d-482d-99c1-dc639a444ba4,c1,c3,26,p3,?,surb={'id': 'c7047972-a72a-44c2-ba36-9c71f4f852df', 'route': ['p3', 'e6', 'i11', 'x6', 'p1', 'c1']}
1769745457.48647,SENT,ad58c6b1-32cb-4e65-8167-77e2f45954f6,6ecbda7e-4c3f-46ce-b0f1-cfc9f79db143,c3,c2,3369,?,p3,
1769745457.486629,CREATED,7b9abfbd-f513-4c74-9bf3-05dfc5ab8b0e,e614e735-6885-4acd-8e04-13e17cf62ff2,c3,c2,27,?,?,surb={'id': '6dde2f42-f322-4347-b1ca-2caea744df3e', 'route': ['p2', 'e6', 'i1', 'x6', 'p3', 'c3']}
1769745457.5929163,RECEIVED,238d3a13-940c-49ed-8903-200f051e63ca,8da07a85-2e3e-497c-86be-77355fae356e,c1,c3,26,p3,?,surb={'id': '39088581-d804-4eab-8e8d-3a6fdfe9ba83', 'route': ['p3', 'e4', 'i2', 'x5', 'p1', 'c1']}
1769745457.6147294,RECEIVED,a5bdcce5-8d42-44f4-89bc-e1aa55b7245a,a3930881-7295-48e7-9256-3f53e017caa8,c1,c3,26,p3,?,surb={'id': 'a40d84ea-6ff5-49dc-85c8-2de89e2480b1', 'route': ['p3', 'e10', 'i11', 'x2', 'p1', 'c1']}
1769745457.8304083,RECEIVED,a73983e3-4db9-48f7-ad03-178ef74e5dde,201898ff-210a-4d52-8357-9fae9fb47e4f,c2,c3,26,p3,?,surb={'id': 'c0e26bba-a614-4e9f-8013-910824893166', 'route': ['p3', 'e4', 'i7', 'x12', 'p2', 'c2']}
1769745457.862027,RECEIVED,a7f36c92-2f50-4917-8aed-05545012bab0,209ffa3b-14a4-4268-8f04-f825be4aedfd,c2,c3,27,p3,?,surb={'id': 'a957287b-354b-4b7b-814b-3165c5227a74', 'route': ['p3', 'e8', 'i10', 'x11', 'p2', 'c2']}
1769745458.0180264,RECEIVED,04118fc0-f5c5-4ae0-8f3a-c752c0b75067,b90f10a5-4d3c-489e-987b-fa6200a7fac8,c1,c3,27,p3,?,surb={'id': 'b21ccdc8-59ae-41e8-8918-dca8fc756751', 'route': ['p3', 'e6', 'i1', 'x10', 'p1', 'c1']}
1769745458.4388764,RECEIVED,9c31ed2e-39a6-486f-83dd-81f39846ade9,108c85aa-9b9f-4cac-9b55-53225c8b66d4,c2,c3,27,p3,?,surb={'id': 'a33efa25-8d93-47d2-bb23-97002f18dcd5', 'route': ['p3', 'e3', 'i3', 'x11', 'p2', 'c2']}
1769745458.555646,RECEIVED,6498265e-a427-464f-9117-46ed1da83b66,9534bad9-c300-4f0d-84c5-aba518388005,c2,c3,27,p3,?,surb={'id': '4a72b8b5-7372-44c1-8966-f8fa8d6efded', 'route': ['p3', 'e1', 'i1', 'x4', 'p2', 'c2']}
1769745458.6069708,RECEIVED,75ec0c3c-5f32-4793-b042-0a6c58fbd4f1,3ac48484-c309-4f9d-85bb-c372b06164fd,c2,c3,27,p3,?,surb={'id': '56b6eca3-ef7b-4477-9c80-a840990ff7cf', 'route': ['p3', 'e11', 'i1', 'x11', 'p2', 'c2']}
1769745458.635135,SENT,eabcc4a6-3e60-479f-b3cf-af3a7bc396dc,2da4bbb2-76bf-42e9-a330-0b43e3b37851,c3,c2,3377,?,p3,
1769745458.6352718,CREATED,ed6edf36-d9e0-4954-ac5e-4e68593f7c99,1dfe259e-f3cb-4524-87ce-4874691a0015,c3,c2,27,?,?,surb={'id': '0ddcc0bd-09a8-423b-bdb8-c0a9a5bb03e6', 'route': ['p2', 'e5', 'i1', 'x4', 'p3', 'c3']}
1769745458.8754945,SENT,c577dceb-74f0-4d57-82be-7cc618acd193,3097e90b-6e23-4762-8268-76f09656be23,c3,c2,3387,?,p3,
1769745458.875918,CREATED,1cc9d32b-02b8-46d5-8a58-297ee0f40cca,b445eaba-92d0-4604-a220-0269aa03bed8,c3,c2,27,?,?,surb={'id': '88a213e6-7454-46a9-a083-62c37592defc', 'route': ['p2', 'e8', 'i10', 'x10', 'p3', 'c3']}
1769745458.9811542,SENT,bfbc709b-94dd-47df-aeb9-00a7e3b296d7,0c9cf308-1b95-42e6-8017-d53f22620858,c3,c2,3357,?,p3,
1769745458.981285,CREATED,ebe0070b-f1ff-48a4-a211-26b9f5cd513d,5eedd8d5-b0cb-48cc-a3b0-e67cfc2ac098,c3,c2,25,?,?,surb={'id': '1e691c94-a5ab-4d84-aef1-82097cab783b', 'route': ['p2', 'e7', 'i5', 'x6', 'p3', 'c3']}
1769745458.9863,RECEIVED,baa5d21d-d654-4b9b-85c2-2fda8f59fd7f,c327f903-6cdd-4812-9d19-c144271796eb,c1,c3,27,p3,?,surb={'id': 'd971aede-3535-4ec0-8358-d135ff11ad46', 'route': ['p3', 'e1', 'i4', 'x7', 'p1', 'c1']}
1769745458.9966183,RECEIVED,8f7b463e-68d9-4377-8670-fd27d0f6e95e,4947e195-ae91-44a3-9cbf-86168f5569a9,c2,c3,27,p3,?,surb={'id': 'c36e821a-aa66-4e84-8a74-6aacc9113efb', 'route': ['p3', 'e11', 'i5', 'x11', 'p2', 'c2']}
1769745459.0142164,RECEIVED,3eafc306-0d86-4e01-beff-e9605e97d71b,5fcb2a8e-d2fc-4368-b0fd-700fbc9af92a,c2,c3,27,p3,?,surb={'id': 'd04a9597-eaca-43c1-86c5-dd9e98d14298', 'route': ['p3', 'e10', 'i1', 'x1', 'p2', 'c2']}
1769745459.2113826,RECEIVED,b4a10d46-9b48-4fdd-aa02-365749f2d501,d60853c9-edf5-4114-a4b5-db0aa2d42b3c,c1,c3,26,p3,?,surb={'id': 'e83f94c4-20ac-4cf3-b03e-610e0dac5f49', 'route': ['p3', 'e8', 'i3', 'x12', 'p1', 'c1']}
1769745459.4715378,RECEIVED,af5a7f31-dc2d-4efd-a178-5fb728786335,e91d1eab-af22-449e-8ab1-b3a5cbf63e16,c2,c3,27,p3,?,surb={'id': '5d416fb8-e9e8-44e6-a7c6-143cbb4308d0', 'route': ['p3', 'e1', 'i2', 'x10', 'p2', 'c2']}
1769745459.6703243,RECEIVED,9ab901f1-cfca-4b3b-a61f-8b81e9a1b5d0,7c6d6f69-e5dd-406f-a7d9-dde58209f442,c1,c3,27,p3,?,surb={'id': 'eab24bc0-6569-49be-badb-b1aa471c3d03', 'route': ['p3', 'e5', 'i12', 'x1', 'p1', 'c1']}
1769745460.102253,SENT,631d4e62-5096-4a35-924d-643e78f4fb63,6fe07230-bd55-455e-8f43-4702cff681c0,c3,c2,3360,?,p3,
1769745460.102404,CREATED,38c4327d-f45a-4126-b1fd-0dd891ef0d58,a3388f4c-22d8-465e-81d5-8f2897d59d20,c3,c2,26,?,?,surb={'id': '89e92951-228f-406d-a65a-a3f3d9c994d5', 'route': ['p2', 'e11', 'i6', 'x9', 'p3', 'c3']}
1769745460.5477395,SENT,f9bdae0a-1e8e-450c-9137-671a58a1693a,dce6a970-e55a-42bb-a86e-c0c4f671d81b,c3,c2,3384,?,p3,
1769745460.5478466,CREATED,e1b2982e-ec21-404e-a112-84f8833b9bd6,d1731f01-6526-49da-94b0-bb65289c53c0,c3,c2,27,?,?,surb={'id': 'e1f2b286-ff4a-47e9-847a-a3a52fca6376', 'route': ['p2', 'e1', 'i7', 'x4', 'p3', 'c3']}
1769745460.5956652,SENT,3a59d5a6-9a89-4aea-9081-8010c7764a8b,7c41ca6b-3cac-4b10-81de-24a7fe3d7a4e,c3,c2,3402,?,p3,
1769745460.5957735,CREATED,8e06ab0e-4b99-4c23-8292-1c22c07d1e89,3ba4ece6-799e-4131-84e1-043983ba0112,c3,c2,27,?,?,surb={'id': '7465fa57-4ad0-4849-9cba-bd9c25b4f844', 'route': ['p2', 'e12', 'i3', 'x1', 'p3', 'c3']}
1769745460.6792915,RECEIVED,e40805a7-4637-4907-9aec-c162a60795b1,95ee5d9c-12d4-46f1-bd14-af275109e217,c2,c3,26,p3,?,surb={'id': '9c13e089-6013-4969-8626-36005ec1be4a', 'route': ['p3', 'e1', 'i6', 'x3', 'p2', 'c2']}
1769745460.696584,RECEIVED,fcfb372f-0dae-4e5e-9fff-7564e85f2640,33df74d1-a3f8-44d6-96ca-2e86be84dce5,c1,c3,26,p3,?,surb={'id': '86e697a1-0ee9-4324-9bad-3cbf46b403e7', 'route': ['p3', 'e10', 'i10', 'x8', 'p1', 'c1']}
1769745461.0782206,SENT,6a1b2d7d-7c20-48ec-8b69-0b7b8f8b2f18,9ae65fe9-5a8e-4341-a076-d41a4fa48f41,c3,c2,3359,?,p3,
