timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769745456.3969486,RECEIVED,d3934cd2-74c8-407c-abbf-779ca801b122,66a829d7-d1f2-46de-8a71-290f8b8d0e1e,c4,c2,27,p2,?,surb={'id': 'b64e7da9-5bc1-491a-8c5b-68e27dc0f811', 'route': ['p2', 'e2', 'i11', 'x10', 'p1', 'c4']}
1769745456.4547842,SENT,52603ac1-a1c2-43c8-a44f-514cb19fd1a9,feacf74c-0cce-4c4e-8a62-a1ea4b3f2ec6,c2,DROP,2024,?,p2,
1769745456.4549024,CREATED,3d524057-068a-499c-aa58-6c925016a30d,2c0fd215-3f8f-41a0-986e-f2c6d4185b0d,c2,DROP,26,?,?,
1769745456.5070205,RECEIVED,a1095305-c439-455e-9815-d49b255cbf3f,f8165978-ce82-49a5-8b17-c40200f22d52,c3,c2,27,p2,?,surb={'id': 'f7c20e97-93a0-462b-a1e6-afabd492ea6d', 'route': ['p2', 'e3', 'i12', 'x9', 'p3', 'c3']}
1769745456.5234902,RECEIVED,eb3eed10-9a15-4a93-882a-de96f5072098,45d38720-757d-4988-b98f-3b5dba1f87be,c3,c2,27,p2,?,surb={'id': '3dc5992e-a5ac-4412-bf1a-fb386cd7d7f1', 'route': ['p2', 'e3', 'i6', 'x2', 'p3', 'c3']}
1769745456.5382879,RECEIVED,40977c75-e160-4bb5-b9c7-a62ace99c975,4e66fc5a-eec5-43db-9ee6-b7f7b8193ca6,c4,c2,26,p2,?,surb={'id': 'a9b52329-6343-43e3-b0d3-38fb9012b54a', 'route': ['p2', 'e2', 'i11', 'x2', 'p1', 'c4']}
1769745456.5513144,RECEIVED,17a1cad6-f707-492b-a8b8-29e93ea1cd4d,49059fa4-704f-4bad-86b8-392e248b293d,c5,c2,26,p2,?,surb={'id': '0c6188da-eb30-4a6c-864f-08b45bac017b', 'route': ['p2', 'e8', 'i4', 'x6', 'p2', 'c5']}
1769745456.6129546,RECEIVED,9093d793-30ab-4db5-b0ce-0f23dad8f44e,1f3cf52e-5d3a-4b65-86a0-c761f2a3ce22,c3,c2,27,p2,?,surb={'id': '73ff6843-549c-46d6-8797-c090ffbc952c', 'route': ['p2', 'e11', 'i2', 'x7', 'p3', 'c3']}
1769745456.7699413,RECEIVED,d0a3cac8-fe83-44da-93bf-c21697f38467,5e60b66e-5aaf-4519-a32f-4b9ab5637cf2,c3,c2,26,p2,?,surb={'id': '87920b8b-2da3-423a-82db-ca65a0fa62c5', 'route': ['p2', 'e8', 'i10', 'x5', 'p3', 'c3']}
1769745457.1014051,SENT,50a7bd8c-5047-4e54-bc57-b773391bbb3a,c775d6c9-4c7c-4075-9ffa-82e9f5fec46b,c2,DROP,2024,?,p2,
