timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769759026.9040973,SENT,2d8841b2-42c0-498b-a238-6a942f707ff3,4995fc49-8fad-420f-9ee9-bd08308cd4ac,c5,c3,3376,?,p2,
1769759026.9042308,CREATED,995d5e20-b75d-4a04-9d64-039a84e02b72,60de4eb3-5b31-4858-84f5-8174c65983a5,c5,c3,27,?,?,surb={'id': 'cfdf4e8e-2c88-41ff-9c65-4969c4fb8e89', 'route': ['p3', 'e5', 'i6', 'x8', 'p2', 'c5']}
1769759026.936439,SENT,f8d52374-538d-4beb-b663-211ce545927b,8ae932f9-cdca-4182-9423-c8eb3da47426,c5,c3,3384,?,p2,
1769759026.9365735,CREATED,a4d8703e-99b5-4a61-adc8-8964bfa2e6cd,60de4eb3-5b31-4858-84f5-8174c65983a5,c5,c3,27,?,?,surb={'id': 'cfdf4e8e-2c88-41ff-9c65-4969c4fb8e89', 'route': ['p3', 'e5', 'i6', 'x8', 'p2', 'c5']}
1769759026.9723046,RECEIVED,28dcdc14-3bff-409c-9c5d-be36e9865268,b3b3dc5d-b683-4d02-ac99-ea54f346dff3,c3,c5,27,p2,?,surb={'id': 'dcedc08d-b4c7-4b28-b43d-abc2e24af8f1', 'route': ['p2', 'e7', 'i12', 'x1', 'p3', 'c3']}
1769759027.127484,SENT,ceb1a702-f288-44c1-8a6e-0c6f073982fb,252e171b-1332-408e-a9a2-49dec182d562,c5,c3,3380,?,p2,
1769759027.1276362,CREATED,173475b1-7d4e-4eef-a72d-3ad5d7ea0517,27d9ee7a-d2a4-4461-ba34-db4e8c13c42f,c5,c3,27,?,?,surb={'id': 'ccce0986-5795-4896-80ef-7fd0e9718511', 'route': ['p3', 'e1', 'i9', 'x6', 'p2', 'c5']}
1769759027.1363134,RECEIVED,73971553-e897-4328-a4e6-f3a352b3fe3f,847ca08c-55e9-464a-abce-0dca5f7101f2,c1,c5,26,p2,?,surb={'id': '83cb0c44-ad08-44f5-ac0f-d0328c2d572d', 'route': ['p2', 'e5', 'i11', 'x5', 'p1', 'c1']}
1769759027.3003352,SENT,1a91e9ce-979a-4712-9056-cee30abb4eb2,ce604654-6ef6-423d-b6c4-e83e3ba9566f,c5,c3,3375,?,p2,
1769759027.3004699,CREATED,475d14b2-f1f6-4770-b727-0cb84c3fdbae,27d9ee7a-d2a4-4461-ba34-db4e8c13c42f,c5,c3,27,?,?,surb={'id': 'ccce0986-5795-4896-80ef-7fd0e9718511', 'route': ['p3', 'e1', 'i9', 'x6', 'p2', 'c5']}
1769759027.4422286,RECEIVED,079a4bde-01c6-4655-9f81-ed499791e022,c79e10b0-f056-4781-90fe-99d48c093339,c3,c5,27,p2,?,surb={'id': '83ffef21-a6ac-468e-b2b7-df5a2cdf6253', 'route': ['p2', 'e10', 'i5', 'x10', 'p3', 'c3']}
1769759027.5336335,RECEIVED,7b06ab57-31be-404c-80eb-dd7c15a64a90,197571e8-934f-4b23-bb57-6b8ec864f0f0,c1,c5,26,p2,?,surb={'id': '2c9fa28a-b782-4cc8-a9fd-dfd07beb7a18', 'route': ['p2', 'e8', 'i3', 'x11', 'p1', 'c1']}
1769759027.541596,RECEIVED,2b89b876-2d35-4f8d-9fa2-af8c9db9fec1,847ca08c-55e9-464a-abce-0dca5f7101f2,c1,c5,26,p2,?,surb={'id': '83cb0c44-ad08-44f5-ac0f-d0328c2d572d', 'route': ['p2', 'e5', 'i11', 'x5', 'p1', 'c1']}
1769759027.661355,RECEIVED,8c9cbf36-9fe3-487f-95fa-2bc3886acbca,c79e10b0-f056-4781-90fe-99d48c093339,c3,c5,27,p2,?,surb={'id': '83ffef21-a6ac-468e-b2b7-df5a2cdf6253', 'route': ['p2', 'e10', 'i5', 'x10', 'p3', 'c3']}
