timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769498173.734335,RECEIVED,c737335f-91bb-4605-83f3-d4c08fe77171,e6d34a05-ca42-4b5f-bae9-f8ee192e11a4,c2,c4,27,p1,?,surb={'id': '495197f0-ea31-44ea-af77-099267a5a0cc', 'route': ['p1', 'e3', 'i2', 'x3', 'p2', 'c2']}
1769498173.7869565,SENT,5c7ebd58-694c-4a4f-b487-4e74e342fa36,016a3ebd-2ef2-4181-b1e7-92b97225b5da,c4,c1,3359,?,p1,
1769498173.7873547,CREATED,9e4f6c14-b427-4765-995b-9e05e905dda2,9e673a7e-ea16-4ae5-8622-5cb74881dbd1,c4,c1,26,?,?,surb={'id': '1d2d26d7-12cd-4433-9571-55af4854c8fd', 'route': ['p1', 'e2', 'i2', 'x3', 'p1', 'c4']}
1769498173.9326203,RECEIVED,aeeccf96-c200-4916-b957-eb0f4cae5ff4,e0b72f4c-8082-4985-9843-0bc106458211,c3,c4,27,p1,?,surb={'id': '1b41fb26-926c-451f-9d5d-94d7c16704e7', 'route': ['p1', 'e9', 'i8', 'x12', 'p3', 'c3']}
1769498173.9989276,RECEIVED,5fdf3f76-65d1-4321-8656-9ee19ad410d6,6d9e2bab-1585-41c6-8b98-91d9a2fc35fa,c2,c4,27,p1,?,surb={'id': '7e63c800-d49d-4a2e-8a5e-c9a2aa2bc131', 'route': ['p1', 'e5', 'i9', 'x9', 'p2', 'c2']}
1769498174.0705688,RECEIVED,9a4e45b0-6303-46fc-a1f4-615ed8ea915c,d9366aac-52c7-46f6-9117-a9bfdc30be11,c3,c4,27,p1,?,surb={'id': '09d55eba-20c7-42cf-8db7-0d9c182e8df9', 'route': ['p1', 'e8', 'i6', 'x9', 'p3', 'c3']}
1769498174.0868862,RECEIVED,b395f51c-74ed-4209-afd6-b6239b2ddbcf,c22b3aea-dcb6-4648-957f-c940748950e4,c3,c4,27,p1,?,surb={'id': 'da8ab576-8170-4691-8e65-0fabeba4845e', 'route': ['p1', 'e3', 'i11', 'x5', 'p3', 'c3']}
1769498174.5065174,RECEIVED,1b507e60-13c1-46e5-a8bf-132d2f70754e,54220f77-aded-429f-bdb1-f41ed5e23875,c3,c4,27,p1,?,surb={'id': '8be8f1a4-c268-4ba1-95e6-1281e4bdb878', 'route': ['p1', 'e7', 'i6', 'x2', 'p3', 'c3']}
1769498174.6766808,RECEIVED,4daa0eeb-9c8f-49ab-b383-7a9bd97afc1b,1699ee03-8809-441e-8f07-c9d662d9de73,c2,c4,27,p1,?,surb={'id': '656f7824-aa1c-4415-a2f1-33f47a1759a4', 'route': ['p1', 'e11', 'i2', 'x4', 'p2', 'c2']}
1769498174.7027664,SENT,b189ae67-2ea4-4f44-9321-d543a62564ce,7266cd7d-ea55-4f35-84d9-91743b9c0e9d,c4,c1,3380,?,p1,
1769498174.702866,CREATED,1ec068a6-0d6f-4fad-8f35-3255ec4ada01,8cf6e949-95c3-4a87-9f87-fa625fd83e44,c4,c1,26,?,?,surb={'id': '22282287-c3e6-4d24-b944-8f3525c35e65', 'route': ['p1', 'e10', 'i5', 'x9', 'p1', 'c4']}
1769498174.7615244,SENT,e84a8fd6-be3d-4dad-85f6-f14509439921,4c695b48-c5bc-47a1-9263-d5d3ba218e54,c4,c1,3383,?,p1,
1769498174.7616246,CREATED,6040de3a-a7d9-4be5-9fb7-7791f5c892bb,68b81c52-19cd-4415-8f81-6c4499429a76,c4,c1,27,?,?,surb={'id': 'e41be6f4-c665-4a92-93dd-3123774e82de', 'route': ['p1', 'e10', 'i10', 'x4', 'p1', 'c4']}
1769498174.8159673,RECEIVED,f0ade3fb-a36d-4d46-a781-0c93d5701f42,2c13c843-d9ff-404f-8399-b4591b3a7692,c3,c4,27,p1,?,surb={'id': 'ad198f3c-768b-439f-9b40-7564c451578f', 'route': ['p1', 'e8', 'i11', 'x2', 'p3', 'c3']}
1769498174.9812908,RECEIVED,d1e8b399-539d-4e39-88e3-7758458c04e0,264e0b07-634d-4b33-92dc-06b787ad38c3,c3,c4,27,p1,?,surb={'id': 'df3b04ff-663f-4963-a42a-7df0ce5b9a26', 'route': ['p1', 'e1', 'i2', 'x11', 'p3', 'c3']}
1769498175.2175899,SENT,543b8a4e-abcd-4ec0-8155-363ee77c08f4,27af0cbf-b488-4975-a52e-06581947decf,c4,c1,3384,?,p1,
