timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769487686.5578148,CREATED,f99584c1-1d26-46c4-a177-c593dc48821a,49638c5f-71b4-4675-bc7f-061b17712e48,c1,c5,27,?,?,surb={'id': '9a8dca9d-c119-4521-b98e-e4e1daa597da', 'route': ['p2', 'e9', 'i8', 'x12', 'p1', 'c1']}
1769487686.965384,SENT,c8869775-6662-40c2-a589-894cd023dc90,1175bd10-8fce-42ac-8234-5e2294c1f6a7,c1,c5,3376,?,p1,
1769487686.965549,CREATED,f2984ca3-7bd4-4409-a9ce-e008e9c58852,81bb0561-3db6-4bf8-913a-efc83be3799e,c1,c5,27,?,?,surb={'id': '4bd9dfd9-9254-4f84-8089-3c0c8172616c', 'route': ['p2', 'e6', 'i3', 'x6', 'p1', 'c1']}
1769487687.0356834,SENT,3f1540a8-105b-4953-a72c-4c75aa660ebf,1d7cd439-28ae-4053-bbbc-797571a5fff3,c1,c5,3392,?,p1,
1769487687.0358243,CREATED,7add6956-7b6f-4a04-9c17-bdb4d7d6cc74,43888c6f-923a-4e99-9c5c-a13cdd45f56a,c1,c5,27,?,?,surb={'id': '27bbaaa1-df3d-4a58-a28b-d25dea1edce4', 'route': ['p2', 'e12', 'i2', 'x12', 'p1', 'c1']}
1769487687.198025,SENT,1d3bed40-4e97-469d-b506-55e73e45dfe9,2ae813b2-af26-4617-8c84-ba72eab1d14d,c1,c5,3355,?,p1,
1769487687.1982312,CREATED,6b4bad09-97f9-47bd-9bdd-c20629b77121,40da77c3-48f3-42b5-8f63-3d51fc4bab7c,c1,c5,25,?,?,surb={'id': 'e2c70808-99d0-41eb-9975-089fc3f28b6b', 'route': ['p2', 'e9', 'i5', 'x9', 'p1', 'c1']}
1769487687.6043348,SENT,0997e730-eb25-4c8a-88ac-330540f7413b,800da7bb-4594-449f-9ba3-f91b29a6560d,c1,c5,3359,?,p1,
1769487687.604563,CREATED,1651b71d-9eda-4ccc-8b07-7984e1a4fb7d,d1e7c968-4a7d-43ac-be6d-723255229402,c1,c5,27,?,?,surb={'id': '6f095654-fd97-4e90-b67f-908f7e561f91', 'route': ['p2', 'e7', 'i1', 'x6', 'p1', 'c1']}
1769487687.7492874,SENT,59d9f735-ecae-4e87-86f8-a7416ee30406,c6fb5db5-c4c1-4592-a81c-bc4762447f32,c1,c5,3388,?,p1,
1769487687.749338,CREATED,ce7c5150-06aa-4e2f-b478-ec021ee40ba1,b3608ba2-3207-44e1-a5d6-3c05e74ee202,c1,c5,27,?,?,surb={'id': '8102319f-feb9-421e-bf99-74a555e2474f', 'route': ['p2', 'e9', 'i3', 'x11', 'p1', 'c1']}
1769487687.817419,RECEIVED,25d1a3d0-7ef4-434b-bb65-fe276f957b65,ac3662d2-7ffb-49b8-aaa0-ea98fb5ae725,c2,c1,27,p1,?,surb={'id': '9b73625f-0b04-48fa-acb4-83aa6be9e06e', 'route': ['p1', 'e12', 'i2', 'x5', 'p2', 'c2']}
1769487687.8204336,SENT,d7051000-43dc-4f80-aaed-7e7154ca2a5e,874e8a31-a11a-43b2-8add-6f86e8ae88c9,c1,c5,3407,?,p1,
1769487687.8205795,CREATED,8e322c23-95d1-4500-a575-ae3219866557,7266ca34-a33e-41ad-b3f3-e7c305ec6d46,c1,c5,27,?,?,surb={'id': 'a04059fe-9c48-4821-89d6-95e03ff026d5', 'route': ['p2', 'e3', 'i11', 'x3', 'p1', 'c1']}
1769487688.4187002,SENT,107c1215-dfb0-4cad-86bb-45150836e0b1,0d48be3c-60c0-48a6-a7d4-93d0b186d6e9,c1,c5,3375,?,p1,
1769487688.4188411,CREATED,4955101f-bbd2-4361-aa38-1d8328b38779,0e29793c-0ded-40d9-a214-97d890b6fbbe,c1,c5,27,?,?,surb={'id': '11e83f60-a36c-4473-99a6-f0ecfac1d495', 'route': ['p2', 'e11', 'i2', 'x9', 'p1', 'c1']}
1769487688.4832911,RECEIVED,63c4aaeb-4621-4b64-a5e5-694cb0dfe429,2e39beeb-c562-4a75-8b7d-6cc1f312365f,c2,c1,27,p1,?,surb={'id': '328b5b9c-06f3-4f24-8b40-4c572f467a09', 'route': ['p1', 'e11', 'i7', 'x3', 'p2', 'c2']}
1769487688.7009218,RECEIVED,70b8a54a-e435-4507-b0f5-581f80fd35d4,a6198c43-f072-4da6-bc32-51caad23a3f1,c2,c1,27,p1,?,surb={'id': '8407f81e-4196-4a80-85da-75e70f1b737b', 'route': ['p1', 'e3', 'i8', 'x6', 'p2', 'c2']}
1769487688.8175075,RECEIVED,d1fbd448-9857-48ca-a9a0-973fd503ef87,8fbed348-cb00-477e-ada7-745502774b99,c2,c1,27,p1,?,surb={'id': '727ec032-e774-4739-819d-45536fa087e1', 'route': ['p1', 'e4', 'i10', 'x6', 'p2', 'c2']}
1769487688.8653252,RECEIVED,8ab96be0-76f2-4b9a-8a76-4b1e95a68569,b178859b-4419-4378-b780-769d41e2ad08,c2,c1,27,p1,?,surb={'id': '546fe9aa-f527-4d8c-8505-ee60d183aa8f', 'route': ['p1', 'e5', 'i9', 'x5', 'p2', 'c2']}
1769487688.9175951,SENT,e4432819-c9d8-45dd-a9ee-8eb15bbe704a,8d9840a6-5183-4a39-a0ac-766593fb8a5f,c1,c5,3379,?,p1,
