timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769734978.669555,SENT,8fbdb154-c221-4f25-9ed3-1ea4e8f01c77,9bad6152-d0f7-4115-9e52-d9af43db2d18,c2,c3,3379,?,p2,
1769734978.669685,CREATED,f58dc704-34a9-411e-b322-91807e215426,4cb81577-fb07-4d9d-8ecb-b41584f6ab64,c2,c3,27,?,?,surb={'id': '20f07917-c502-437d-89b0-8d0bb7c5b7b3', 'route': ['p3', 'e7', 'i9', 'x9', 'p2', 'c2']}
1769734978.7292073,SENT,49d9cd31-c7ab-4a7b-be5d-d93f97e2c4ca,57710112-1130-434b-9f23-7a638b4a93b2,c2,c3,3363,?,p2,
1769734978.7293415,CREATED,1205c711-21c8-4e99-91aa-8a811c608589,4fb001dd-d785-4a5f-8330-fc32e555b979,c2,c3,27,?,?,surb={'id': 'e670aafc-a2ca-485e-aee8-20d5f2cebb0e', 'route': ['p3', 'e3', 'i9', 'x6', 'p2', 'c2']}
1769734978.7518024,SENT,7e6f0989-1e86-4fb5-a788-6c812840a493,84f5deeb-acc2-4031-80de-7256868cc2b4,c2,c3,3372,?,p2,
1769734978.751939,CREATED,f38a45a5-d10d-44b0-bf4f-7f9ba89ec0f0,0a8028bd-50ed-4131-9f0b-1f5f3eb2f1d5,c2,c3,27,?,?,surb={'id': 'b01d034c-102b-436a-b1d7-bb2a91c41d1f', 'route': ['p3', 'e4', 'i3', 'x7', 'p2', 'c2']}
1769734978.8745522,SENT,3d5bf442-cdaa-4f67-b92d-eeee21bdf186,c2376485-3e3d-4c34-ad61-c3bdd5fba0f8,c2,c3,3381,?,p2,
1769734978.8746827,CREATED,db061007-b88a-4e8b-9f97-a7706cf7a3d3,f5b207c5-3a09-40dc-bab7-530ad8f53993,c2,c3,27,?,?,surb={'id': '0bcb43a0-f865-44ec-a53b-31fef3456df1', 'route': ['p3', 'e5', 'i1', 'x10', 'p2', 'c2']}
1769734978.8854096,RECEIVED,4174c5fc-d71c-4c7b-a31d-aa78987345aa,3b4282ae-cfb8-48ea-93d6-16471635c388,c3,c2,27,p2,?,surb={'id': '4f78c498-52d8-41cc-894d-01cdabb12bbd', 'route': ['p2', 'e5', 'i9', 'x2', 'p3', 'c3']}
1769734978.9351873,RECEIVED,46bc85a9-0fc3-4828-a4fd-29fbf71a2b47,655ccc15-3bdb-49c7-938a-0562898c9e11,c3,c2,26,p2,?,surb={'id': '86b2de8d-c474-48d2-aafc-85f825f291aa', 'route': ['p2', 'e2', 'i2', 'x4', 'p3', 'c3']}
1769734979.2777832,RECEIVED,951c7fb6-9dfe-4cb3-be0a-d909e937d3b5,ad941f4a-de0d-428f-98f5-7e66085d992b,c3,c2,27,p2,?,surb={'id': 'e07d2cf0-71ee-48c6-a71c-d28b7805092d', 'route': ['p2', 'e1', 'i4', 'x8', 'p3', 'c3']}
