timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760262.7688084,CREATED,ca7076a5-61e5-4724-9f07-39463233d94a,77ddd5d4-28af-4174-be64-49529f9bd691,c1,c5,27,?,?,surb={'id': '6744c4b4-974f-4a76-bea9-a7c3d7b9c83b', 'route': ['p2', 'e5', 'i5', 'x7', 'p1', 'c1']}
1769760262.778175,SENT,586bafc4-b787-486c-8cdb-923b583609f5,c6452904-8617-436a-beed-a03db39a3c90,c1,c5,3391,?,p1,
1769760262.7783313,CREATED,37c8d1f3-7838-4bd3-ab62-c929d512d318,c6ed3fae-434a-49fc-b81b-8a1a79cd10ec,c1,c5,27,?,?,surb={'id': '6141f75c-2ca5-40f7-8f16-243d4aafa028', 'route': ['p2', 'e11', 'i4', 'x7', 'p1', 'c1']}
1769760263.0889254,RECEIVED,a3943488-dcb0-4202-a414-495db7780b1f,c12839ee-644a-4e3b-8620-1f250de6a858,c4,c1,27,p1,?,surb={'id': '3e4748b3-541a-4bfd-a431-22c6d82afd44', 'route': ['p1', 'e9', 'i9', 'x6', 'p1', 'c4']}
1769760263.0947988,SENT,653eb205-daa8-45c2-92ef-92edb26547ff,0ce18960-b958-4250-a74d-50cbca8a4f60,c1,c5,3376,?,p1,
1769760263.095265,CREATED,b824fc4e-0baa-46a0-8f4e-7366aa1151bf,989b43f9-3128-41f3-a580-1659a356c22e,c1,c5,27,?,?,surb={'id': '2019731d-6f4e-4ef9-abd6-d31b1e245f6d', 'route': ['p2', 'e8', 'i5', 'x6', 'p1', 'c1']}
1769760263.4257336,RECEIVED,1d80c49d-6781-4550-85b3-32197e6b71db,b62f0cdc-95e9-4d07-ae49-692e3b86fabd,c4,c1,27,p1,?,surb={'id': '226682b0-25fc-4445-b46d-89575875c911', 'route': ['p1', 'e4', 'i9', 'x11', 'p1', 'c4']}
1769760264.3660073,RECEIVED,ca9b8d1b-7733-4571-ac1d-7a78f8641d83,87793b5c-a8b1-49a8-a5b0-f20463fa1041,c4,c1,27,p1,?,surb={'id': 'd1931fe8-2af6-4bb3-92c2-94e3a9d1979d', 'route': ['p1', 'e4', 'i5', 'x6', 'p1', 'c4']}
1769760264.4613893,SENT,c2a0c10a-4781-4187-9dcc-e71bf328a21a,39e81b44-86d5-4431-94f3-0e038b5435ba,c1,c5,3383,?,p1,
1769760264.4615588,CREATED,8004a5d1-0d54-4658-91f9-1f24caa4b74f,b56d9a7e-7330-4516-bb2d-4a3e1cd0f1aa,c1,c5,27,?,?,surb={'id': 'c3f68536-fb4c-4c45-bf6a-f0087df52e38', 'route': ['p2', 'e12', 'i6', 'x7', 'p1', 'c1']}
1769760264.8646436,RECEIVED,86bdf6e4-767c-4933-a5ac-9bfd584db0fc,fdaa3aa2-bfd0-46e9-a0fc-1ba764ac28ad,c3,c1,27,p1,?,surb={'id': 'fc3c5bfd-ef47-47b9-a83e-9a91af9814c3', 'route': ['p1', 'e1', 'i2', 'x3', 'p3', 'c3']}
1769760265.2567255,RECEIVED,41ab9fba-3ff1-4966-a929-8e1a97fd0ec6,5fefe9fe-297d-4823-b517-3b1fca77e097,c4,c1,26,p1,?,surb={'id': '32ab34f4-f302-4865-9a51-6a713ab8512b', 'route': ['p1', 'e8', 'i7', 'x7', 'p1', 'c4']}
