timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769393813.1656735,SENT,01645677-9515-4fb9-8968-2c3803d814a9,752b9d71-f3c5-48c8-9ea9-d596d0c75aa5,c5,c2,3364,?,p2,
1769393813.1658428,CREATED,e84993eb-274d-41fa-a293-d00b1ecac411,d5a3d930-c263-424e-a347-16abf39bf3be,c5,c2,26,?,?,surb={'id': 'e0148238-5b7b-4e74-8284-1600bfde62be', 'route': ['p2', 'e3', 'i4', 'x4', 'p2', 'c5']}
1769393813.4302845,RECEIVED,b1fecca6-8bc1-47e2-b6cf-f342747dd25c,8d07b3bd-380e-492e-a156-e7a78c425218,c2,c5,27,p2,?,surb={'id': '36b021ad-a86c-4cd8-b36d-4f124aaf3359', 'route': ['p2', 'e6', 'i5', 'x10', 'p2', 'c2']}
1769393813.4585254,RECEIVED,eac9086b-2e45-4718-a658-2e91ac37585e,478fdec0-3d9e-4fd7-93ed-37e7c2f88382,c2,c5,27,p2,?,surb={'id': 'acb7b235-9460-48c1-9d4c-f70049abe892', 'route': ['p2', 'e9', 'i1', 'x2', 'p2', 'c2']}
1769393813.7526796,RECEIVED,6dc8611e-a77f-4838-bfb2-c2211bcece67,dd81d68f-9019-42d0-a36d-626a63cc1f09,c2,c5,26,p2,?,surb={'id': 'c0bc2661-fbd5-4aea-b2ae-4119868a5ab8', 'route': ['p2', 'e7', 'i11', 'x11', 'p2', 'c2']}
1769393814.063913,RECEIVED,98047770-f754-4e27-ba54-b814558aea7e,847bd5a7-8666-4657-aad6-fa6c503c3315,c2,c5,27,p2,?,surb={'id': 'b0818788-3217-4553-88ce-0bd4b36aa568', 'route': ['p2', 'e11', 'i4', 'x9', 'p2', 'c2']}
1769393814.0997653,SENT,8c6eeeb0-b015-4f5c-b860-26b7015d4721,17b19937-d67c-4e90-8c7d-bae0aea831be,c5,c2,3381,?,p2,
1769393814.0998633,CREATED,870d95bd-df54-47a8-8e23-754fddfe34d5,2b462d49-8b54-45e6-9c2a-171462ea29a3,c5,c2,27,?,?,surb={'id': '58c03351-180a-4435-b332-a51655642bef', 'route': ['p2', 'e7', 'i7', 'x3', 'p2', 'c5']}
1769393814.1353667,SENT,914aa10b-fb3b-4152-a7b6-eecd80181f0a,eebe245e-a130-497d-84ee-b5ea11042227,c5,c2,3361,?,p2,
1769393814.13544,CREATED,0d62fe9d-7b71-402e-8e23-3da200795e20,2b462d49-8b54-45e6-9c2a-171462ea29a3,c5,c2,27,?,?,surb={'id': '58c03351-180a-4435-b332-a51655642bef', 'route': ['p2', 'e7', 'i7', 'x3', 'p2', 'c5']}
1769393814.1438875,RECEIVED,48f9a0df-f652-4082-9ec2-239aa35a4904,d074f077-1462-46a8-892d-8c0949e8e18a,c2,c5,27,p2,?,surb={'id': '2d1b6cfc-7083-43e0-8378-e62a86aa8f01', 'route': ['p2', 'e5', 'i10', 'x2', 'p2', 'c2']}
1769393814.7756336,SENT,3f2a5e2b-74f4-46e8-a2d9-2576c3759d78,1a3a460e-ba4b-47b3-b696-d65aaaa5a8ab,c5,c2,3391,?,p2,
1769393814.7757812,CREATED,de1c954b-c58e-4323-95a1-1fe1498f0fb9,7de56524-bc1b-47c7-8c1e-e9a34de7da95,c5,c2,27,?,?,surb={'id': 'ba768a36-7a3c-4c54-815c-30c73775e50c', 'route': ['p2', 'e4', 'i12', 'x9', 'p2', 'c5']}
1769393814.784567,SENT,3cccc6e4-f67c-4bfe-8a0e-16413a088ef1,da069427-3a9f-4779-97f5-c20281ffad8a,c5,c2,3395,?,p2,
1769393814.784712,CREATED,c695402a-c33f-4894-b475-74c9ef35fd01,7de56524-bc1b-47c7-8c1e-e9a34de7da95,c5,c2,27,?,?,surb={'id': 'ba768a36-7a3c-4c54-815c-30c73775e50c', 'route': ['p2', 'e4', 'i12', 'x9', 'p2', 'c5']}
1769393814.8487287,SENT,62885bfb-d119-4d43-a264-8b68b357d0de,a50fc33b-42a6-475e-8006-ecbc5df05248,c5,c2,3391,?,p2,
