timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769740522.1438112,RECEIVED,8e7fadda-c016-4e1e-ac2a-bb50c6a79e19,3d6b9e4a-6127-4644-9829-9fc78d4f46ba,c1,c2,27,p2,?,surb={'id': 'b506dfce-3495-4a15-9df7-10c7e349fcd8', 'route': ['p2', 'e6', 'i6', 'x12', 'p1', 'c1']}
1769740522.2041194,SENT,0823eb69-3add-42a0-a58b-029e0c2b5e02,086735af-23ee-4ca0-bab9-95a417822306,c2,c1,3383,?,p2,
1769740522.204275,CREATED,be5ec54f-95bc-4157-a565-6e289b9d3ffc,ae162e37-bdcf-485c-865a-ddadb4c2448a,c2,c1,27,?,?,surb={'id': 'bf26fb80-2447-451c-9f01-34dec271741b', 'route': ['p1', 'e2', 'i7', 'x2', 'p2', 'c2']}
1769740522.3008873,SENT,b9738519-5587-46bc-a433-0cebbf1a34ca,1c531281-4fa3-478c-8953-220cecd43e7f,c2,c1,3364,?,p2,
1769740522.301023,CREATED,cbeaa894-1b7e-4db6-8f8f-9eedaaabfe10,c0041b30-a468-4258-8fa4-ba1160e8b4bc,c2,c1,27,?,?,surb={'id': 'd19847f1-d00f-49d4-9419-e95a32d0c4a3', 'route': ['p1', 'e2', 'i3', 'x2', 'p2', 'c2']}
1769740522.3619716,SENT,39f800fa-8c17-429e-a058-086e84200ba5,73590d0c-cd81-48bd-b584-58ba97abf2bd,c2,c1,3383,?,p2,
1769740522.3623004,CREATED,9456167c-3fad-41c8-a96b-411ebd4974e3,c0041b30-a468-4258-8fa4-ba1160e8b4bc,c2,c1,27,?,?,surb={'id': 'd19847f1-d00f-49d4-9419-e95a32d0c4a3', 'route': ['p1', 'e2', 'i3', 'x2', 'p2', 'c2']}
1769740522.3920953,RECEIVED,87bfc34e-6ccb-44b1-bc73-55d32df454a0,55bd0bce-e2df-47a9-9272-06b415bdc4d2,c4,c2,27,p2,?,surb={'id': '696f6053-38b1-493b-a442-f5010bcc255a', 'route': ['p2', 'e7', 'i3', 'x3', 'p1', 'c4']}
1769740522.5193741,RECEIVED,db4f7fa3-0484-41bf-ab2a-56f78dde6119,9130c615-647a-4e3f-b544-c39a7060d1e0,c4,c2,27,p2,?,surb={'id': 'f99ec81e-add6-4fa2-b78a-f0568aca6fba', 'route': ['p2', 'e2', 'i4', 'x11', 'p1', 'c4']}
1769740522.5309825,RECEIVED,7b591dea-3a33-4ac5-8806-d6b76d7e6ad9,59b70fd6-5c5b-4d2b-b026-5db9436f8b1c,c4,c2,27,p2,?,surb={'id': '912a28f6-a5ad-47f8-a509-011aa97339e5', 'route': ['p2', 'e10', 'i6', 'x2', 'p1', 'c4']}
1769740522.6156912,RECEIVED,68c5ee62-e1d1-4ff1-8e88-783e96c3f134,16e97c6c-3098-4314-adad-20cdc5c9792e,c3,c2,25,p2,?,surb={'id': 'b28da346-2659-4219-a227-c937605a6a0e', 'route': ['p2', 'e9', 'i1', 'x3', 'p3', 'c3']}
1769740522.6751256,RECEIVED,1290ff37-e12d-450c-ab07-be9cad1a65c3,9130c615-647a-4e3f-b544-c39a7060d1e0,c4,c2,27,p2,?,surb={'id': 'f99ec81e-add6-4fa2-b78a-f0568aca6fba', 'route': ['p2', 'e2', 'i4', 'x11', 'p1', 'c4']}
