timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769759644.5839598,CREATED,23235d8b-17b1-4f71-890b-80e5fe807296,8aacdcef-ae76-4fc8-9489-ad40a6bebed2,c5,c1,27,?,?,surb={'id': '96f8a30e-630a-454d-a4ae-b28ba436fda8', 'route': ['p1', 'e6', 'i10', 'x6', 'p2', 'c5']}
1769759644.6376698,RECEIVED,3d5bd3c3-2356-4614-a3ad-3f64459f2c8b,5d0c1255-6396-4d9d-b539-8a2ef792cc71,c2,c5,27,p2,?,surb={'id': 'e715b677-b729-4310-bf8f-29959abd1545', 'route': ['p2', 'e12', 'i1', 'x10', 'p2', 'c2']}
1769759644.6532154,SENT,9e2b08a0-a3f5-4a06-b161-2916d91c70da,10884546-d3c9-4357-9af9-a1ba09f1023c,c5,c1,3388,?,p2,
1769759644.6533613,CREATED,95f50dee-7219-4d0c-b3b7-88adb5fe8418,b75dfcdf-5bba-4977-9f1c-51e3a084ff45,c5,c1,27,?,?,surb={'id': 'bcb68ab0-28ac-47b5-b0ae-6a183251772a', 'route': ['p1', 'e6', 'i2', 'x6', 'p2', 'c5']}
1769759644.7332678,RECEIVED,4f33c6c3-147a-49aa-a062-3e66807f8417,a055b0f9-2a38-4c79-aa2c-2feff7a890c6,c1,c5,27,p2,?,surb={'id': '16f5a7dc-3931-464c-b197-4200049ee52f', 'route': ['p2', 'e2', 'i11', 'x6', 'p1', 'c1']}
1769759644.8681002,SENT,b4b5d499-c944-42dc-91b6-a70b5cff8b61,0844b463-55b6-47f5-ab4a-008e908dd77b,c5,c1,3372,?,p2,
1769759644.8682344,CREATED,96540223-f7ef-4ecb-9a5c-246f7a32df8e,7155d5f8-50ca-417f-b7da-75dbf68488ef,c5,c1,27,?,?,surb={'id': 'd4d4c893-9a30-41e5-8ede-3ee0916229c5', 'route': ['p1', 'e5', 'i11', 'x4', 'p2', 'c5']}
1769759645.0564184,SENT,5e49d61e-39e0-4cba-b659-14f9354b7460,b198f72a-5761-4b38-998e-f917f67c89e6,c5,c1,3388,?,p2,
1769759645.056566,CREATED,19d79b50-cec3-4366-b811-70a40fa0ee7d,14b3368a-2c36-46e7-b7ee-84d69b15d197,c5,c1,26,?,?,surb={'id': '54d2af2e-117b-4bc9-839c-162c6fb6b1cb', 'route': ['p1', 'e1', 'i12', 'x11', 'p2', 'c5']}
1769759645.1025422,SENT,d2a7e57b-5d1f-4786-afaa-f837e7ab36d8,ecf8ba47-70f3-4281-ae2d-05d90015b461,c5,c1,3390,?,p2,
1769759645.102691,CREATED,23d0d64b-540d-402c-90a4-94946ef02e16,9f4be5bb-9087-43ee-8567-271294c7fa1c,c5,c1,27,?,?,surb={'id': 'e0cb3132-9053-4e9b-ad2e-0b22d91c31f2', 'route': ['p1', 'e7', 'i11', 'x3', 'p2', 'c5']}
1769759645.1376224,RECEIVED,eaad7f55-d34e-41fb-8ad1-ad9e4c9ecb7b,1bd9eb67-bc4f-4c01-a103-8be313465d60,c4,c5,27,p2,?,surb={'id': '624cd110-f84b-4418-8957-8537f837a81d', 'route': ['p2', 'e5', 'i11', 'x12', 'p1', 'c4']}
1769759645.1514106,RECEIVED,84c20de8-70f2-467b-b72e-d12d5ec09b1b,ae1dfcd5-9520-4613-81fb-063237e8b099,c2,c5,27,p2,?,surb={'id': '532d6f0d-5008-4250-a764-6d9de7789945', 'route': ['p2', 'e3', 'i12', 'x5', 'p2', 'c2']}
1769759645.2251842,RECEIVED,ea411c62-4277-4f27-ae82-8006f7272e68,53f5194b-d023-4e6e-96e8-9d9ef4b87962,c2,c5,27,p2,?,surb={'id': 'f9657cc8-d31c-4b79-b762-0b8b5c798925', 'route': ['p2', 'e4', 'i9', 'x9', 'p2', 'c2']}
1769759645.2366457,RECEIVED,072d7016-759b-47f8-b08c-ad522a57cad3,c6e2c067-839b-4bd4-85b8-aba4f730308d,c4,c5,26,p2,?,surb={'id': '5df5a15e-d31c-4736-9f19-cc4bb32201ae', 'route': ['p2', 'e8', 'i6', 'x10', 'p1', 'c4']}
1769759645.2921581,RECEIVED,fb3cfada-7aeb-4899-b087-bee9e11128fa,2e03f250-fa98-488f-8f4d-97404ebe769b,c4,c5,27,p2,?,surb={'id': '610b06ab-2fd8-4f6f-ae44-7d7ccd1a9489', 'route': ['p2', 'e11', 'i11', 'x5', 'p1', 'c4']}
1769759645.3346286,RECEIVED,d7e690af-46f5-4c69-9906-b196af438274,5524ce1c-28bc-4ac9-b5c4-cc7b09396235,c4,c5,26,p2,?,surb={'id': 'b4b29d97-1421-47d7-b123-d490032bcbd8', 'route': ['p2', 'e2', 'i6', 'x12', 'p1', 'c4']}
1769759645.3880723,RECEIVED,2a04961c-c877-4bcf-9431-2a2ba5922938,2c4c5477-25a1-4df4-8e9a-558810082438,c2,c5,26,p2,?,surb={'id': '95621e9c-b6fd-4080-ba16-cce56abd1902', 'route': ['p2', 'e7', 'i10', 'x3', 'p2', 'c2']}
