timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769753478.612554,CREATED,47f7f7b5-993d-4fdc-a0a1-17dcf391fdcd,175d1471-7905-4421-b37b-525632b060eb,c3,c1,27,?,?,surb={'id': 'd06d0cc4-357f-4f93-9ac8-c67320d3690e', 'route': ['p1', 'e9', 'i5', 'x10', 'p3', 'c3']}
1769753478.673545,RECEIVED,5bcaf99e-2581-443a-a190-c34e95b8b47b,fc058bb4-13cb-4f80-a720-6a5057a6ac14,c2,c3,25,p3,?,surb={'id': '262034eb-3e1e-4773-84df-8ba39969e6d9', 'route': ['p3', 'e4', 'i6', 'x6', 'p2', 'c2']}
1769753478.8412278,SENT,5240af11-4352-42c5-acec-34125e47d3fd,98a26d5f-934c-4aba-8a72-522f329588c3,c3,c1,3380,?,p3,
1769753478.8413618,CREATED,9e0c396b-772b-4c5e-a541-dfbaea8d1cd6,3da5b22c-607c-4201-8b50-a0084b1161c0,c3,c1,26,?,?,surb={'id': '7845f8dc-fb9c-4c8c-b18e-c6596e687edb', 'route': ['p1', 'e9', 'i2', 'x4', 'p3', 'c3']}
1769753478.8944716,SENT,038795f5-47b6-4e5f-9609-4c9de6041e0c,55766ef8-b830-46b3-976b-11111ac6ae6b,c3,c1,3360,?,p3,
1769753478.8946216,CREATED,fbc2a6bf-be3d-401b-8817-1feb0774eec5,63433489-a033-4139-9daf-7bd8ae13adaf,c3,c1,27,?,?,surb={'id': '1d4ade49-acc7-4b8d-9c2c-4a10e6abfe55', 'route': ['p1', 'e12', 'i11', 'x9', 'p3', 'c3']}
1769753479.1699157,RECEIVED,391d6852-5f03-4105-b99a-ea70be6cd900,0c0b7069-6cc0-413a-97ac-a521ad410f46,c2,c3,27,p3,?,surb={'id': '235f3254-fe12-4f97-92fe-c6a0ede3a264', 'route': ['p3', 'e8', 'i5', 'x8', 'p2', 'c2']}
1769753479.235184,RECEIVED,c9d80188-0c52-4f04-b34e-4176ecb69f70,6e3e0983-131a-45a2-92f2-462c1560d6a7,c2,c3,27,p3,?,surb={'id': 'e1cbeba7-44a6-489a-96d3-d163c9ab8589', 'route': ['p3', 'e8', 'i2', 'x3', 'p2', 'c2']}
1769753479.418835,SENT,d0605dae-d6b9-4a29-9c86-56537be21b02,b1d49f6d-b5bd-4ef9-8584-651ff963ff4d,c3,c1,3379,?,p3,
1769753479.4189844,CREATED,69343ac0-0646-420e-b19c-b621d82fcde0,b4111e3d-82b0-4e36-8f1c-e42e0288bfe4,c3,c1,27,?,?,surb={'id': 'a9202539-795d-4d9d-aee5-7dea6b894b36', 'route': ['p1', 'e3', 'i2', 'x2', 'p3', 'c3']}
1769753479.5474186,SENT,8ed2157e-72e9-4c79-8577-cddd9f1b543b,907fcbf9-24ca-4712-b8c6-96a156cae7a8,c3,c1,3398,?,p3,
1769753479.5475678,CREATED,da835586-9a90-445e-8280-6ff6861a513d,b7ac58b7-4a8c-4124-9bcc-4c9853b5cf38,c3,c1,27,?,?,surb={'id': 'dbadd60d-4ad0-4275-9192-d2bc0fc159b4', 'route': ['p1', 'e10', 'i5', 'x5', 'p3', 'c3']}
1769753479.6623018,RECEIVED,8e9193b7-4840-4f01-b8a8-2e7d1bf6e5d8,0c277b74-70e0-44b5-840e-02bafd8afbc1,c2,c3,27,p3,?,surb={'id': '03f276c1-2610-4718-bd22-fa82d367db4b', 'route': ['p3', 'e5', 'i7', 'x6', 'p2', 'c2']}
1769753479.9582994,RECEIVED,87784e97-7d4f-498b-86e2-f3a441da0d5e,aceae920-9ccf-4877-8490-745e4adc5eb3,c2,c3,27,p3,?,surb={'id': 'a0a16c76-e103-4304-a803-dbf18b764518', 'route': ['p3', 'e4', 'i8', 'x5', 'p2', 'c2']}
1769753480.069715,RECEIVED,0e79a78c-a6fb-463a-ae62-15bdb35b72c4,7da00010-a734-40c4-9718-162bf14db67a,c2,c3,27,p3,?,surb={'id': '5e061432-98d8-42a8-9cba-85b6647c9ca9', 'route': ['p3', 'e3', 'i12', 'x6', 'p2', 'c2']}
1769753480.1711946,SENT,ba8d3ad7-ee96-4d59-a297-2ff7f4af462a,cc787f66-d960-4bc4-8f7d-f30a8fb0b8a7,c3,c1,3375,?,p3,
1769753480.17134,CREATED,eff21dcd-2f15-4f65-a0bd-375bdbd48331,b248dd2a-2f1f-4eae-a0ed-a13a23fc45d3,c3,c1,27,?,?,surb={'id': '0100a501-d5b3-4114-8f74-b6be9803af7f', 'route': ['p1', 'e1', 'i8', 'x11', 'p3', 'c3']}
1769753480.223103,SENT,e61228ef-690d-4aa7-bc3e-c0b0b4daa441,b747fb01-ec7e-45c9-b90e-05dfff681741,c3,c1,3382,?,p3,
1769753480.223362,CREATED,b3d472ae-e1b2-4ecc-9da6-bd8e72f42100,f747d0cb-d285-4e7b-bf52-8d1d91d6140a,c3,c1,26,?,?,surb={'id': 'ab6d73f8-4236-49cf-b9cc-d009c700d5b5', 'route': ['p1', 'e1', 'i2', 'x5', 'p3', 'c3']}
1769753480.2665584,SENT,13fbb903-e9d2-4a20-bbbf-baa25143b796,a3aee12a-7aee-4504-bc8d-8bb3ca4e2667,c3,c1,3376,?,p3,
1769753480.2666833,CREATED,dc7dae56-4e80-4dad-9d15-f9344c03fce4,7abe1442-52d0-4f49-8ffc-a305d8dc679c,c3,c1,27,?,?,surb={'id': 'e18a67ac-37d0-417e-8d57-88523bdbc5f1', 'route': ['p1', 'e11', 'i2', 'x9', 'p3', 'c3']}
1769753480.3000147,RECEIVED,a775ad5d-2497-4244-82eb-75892acd7466,30acf37e-2e66-46a8-b750-2bc5ff940bd9,c2,c3,26,p3,?,surb={'id': '09e18fe5-2539-4ef6-84df-18e5f9b8fb3a', 'route': ['p3', 'e5', 'i2', 'x12', 'p2', 'c2']}
